date,version,py_files,loc_src,max_file_lines,files_over_500,files_over_300,functions,max_func_lines,funcs_over_50,c901_over_10,ruff_debt,ignored_debt,mypy_errors,vulture,refurb,docstring_cov,test_cov,min_file_cov
2026-06-11,0.5.17,46,6153,413,0,5,268,316,18,0,345,59,0,0,0,80.5,73.63,28.0
2026-06-11,0.5.18,46,6256,380,0,4,284,64,4,0,237,35,0,0,0,86.0,86.62,49.0
2026-06-11,0.5.19,50,6474,350,0,1,285,57,4,0,38,35,0,0,0,100.0,93.48,57.69
2026-06-11,0.5.20,51,6506,299,0,0,287,50,0,0,38,35,0,0,0,100.0,94.19,78.38
